Provinsi,RLS 2019,RLS 2020,RLS 2021,RLS 2022,RLS 2023
Aceh,9.59,9.71,9.77,9.79,9.89
Sumatera Utara,9.71,9.83,9.88,9.99,10.07
Sumatera Barat,9.22,9.34,9.46,9.51,9.59
Riau,9.35,9.47,9.52,9.54,9.6
Jambi,8.86,8.97,9.03,9.07,9.16
Sumatera Selatan,8.6,8.68,8.78,8.82,8.9
Bengkulu,9.08,9.2,9.26,9.28,9.35
Lampung,8.36,8.51,8.56,8.61,8.72
Kepulauan Bangka Belitung,8.35,8.49,8.54,8.57,8.66
Kepulauan Riau,10.13,10.22,10.38,10.46,10.52
DKI Jakarta,11.11,11.17,11.2,11.3,11.42
Jawa Barat,8.79,8.96,9.03,9.14,9.16
Jawa Tengah,8.03,8.19,8.26,8.38,8.44
DI Yogyakarta,9.83,9.95,10.04,10.07,10.16
Jawa Timur,8.11,8.31,8.37,8.5,8.53
Banten,9.07,9.22,9.29,9.46,9.48
Bali,9.19,9.31,9.45,9.74,9.74
Nusa Tenggara Barat,7.98,8.08,8.13,8.31,8.39
Nusa Tenggara Timur,7.98,8.09,8.2,8.25,8.31
Kalimantan Barat,7.8,7.9,8,8.1,8.17
Kalimantan Tengah,8.83,8.95,9.03,9.03,9.07
Kalimantan Selatan,8.59,8.69,8.74,8.89,8.95
Kalimantan Timur,9.88,9.99,10.09,10.13,10.17
Kalimantan Utara,9.24,9.3,9.4,9.45,9.53
Sulawesi Utara,9.63,9.74,9.83,9.87,9.94
Sulawesi Tengah,8.98,9.09,9.18,9.17,9.22
Sulawesi Selatan,8.73,8.86,8.95,9.09,9.12
Sulawesi Tenggara,9.25,9.41,9.52,9.59,9.62
Gorontalo,8.11,8.26,8.32,8.39,8.48
Sulawesi Barat,8.22,8.33,8.39,8.47,8.48
Maluku,10.03,10.2,10.25,10.37,10.38
Maluku Utara,9.32,9.42,9.51,9.6,9.61
Papua Barat,9.92,10,10.03,10.14,10.14
Papua,6.85,6.96,7.05,7.31,7.34